Fecha,Población
31/12/1950,13.570.943
31/12/1951,13.912.947
31/12/1952,14.269.792
31/12/1953,14.641.427
31/12/1954,15.027.963
31/12/1955,15.429.614
31/12/1956,15.846.569
31/12/1957,16.278.927
31/12/1958,16.726.382
31/12/1959,17.188.568
31/12/1960,17.665.037
31/12/1961,18.154.322
31/12/1962,18.654.499
31/12/1963,19.164.082
31/12/1964,19.680.870
31/12/1965,20.201.643
31/12/1966,20.723.588
31/12/1967,21.244.248
31/12/1968,21.761.690
31/12/1969,22.274.200
31/12/1970,22.780.007
31/12/1971,23.277.852
31/12/1972,23.767.130
31/12/1973,24.248.669
31/12/1974,24.724.874
31/12/1975,25.199.544
31/12/1976,25.677.586
31/12/1977,26.163.065
31/12/1978,26.658.672
31/12/1979,27.165.971
31/12/1980,27.684.385
31/12/1981,28.212.667
31/12/1982,28.748.586
31/12/1983,29.289.744
31/12/1984,29.842.691
31/12/1985,30.419.892
31/12/1986,30.980.812
31/12/1987,31.550.132
31/12/1988,32.124.173
31/12/1989,32.697.847
31/12/1990,33.268.154
31/12/1991,33.840.991
31/12/1992,34.425.915
31/12/1993,35.032.308
31/12/1994,35.629.174
31/12/1995,36.229.830
31/12/1996,36.830.574
31/12/1997,37.426.532
31/12/1998,38.012.359
31/12/1999,38.585.016
31/12/2000,39.140.080
31/12/2001,39.674.811
31/12/2002,40.190.679
31/12/2003,40.693.254
31/12/2004,41.188.093
31/12/2005,41.671.878
31/12/2006,42.170.126
31/12/2007,42.658.630
31/12/2008,43.134.017
31/12/2009,43.608.630
31/12/2010,44.086.292
31/12/2011,44.553.416
31/12/2012,45.001.571
31/12/2013,45.434.942
31/12/2014,45.866.010
31/12/2015,46.313.898
31/12/2016,46.830.116
31/12/2017,47.419.200
31/12/2018,48.258.494
31/12/2019,49.395.678
31/12/2020,50.407.647
31/12/2021,51.117.378
31/12/2022,51.682.692
31/12/2023,52.215.503
31/12/2024,52.695.952
31/12/2025,53.057.212